,Model,Family,Instruct,date,#Params (B),Pretraining Data Size (T),FLOPs (1E21),IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,bbh_boolean_expressions,bbh_causal_judgement,bbh_date_understanding,bbh_disambiguation_qa,bbh_formal_fallacies,bbh_geometric_shapes,bbh_hyperbaton,bbh_logical_deduction_five_objects,bbh_logical_deduction_seven_objects,bbh_logical_deduction_three_objects,bbh_movie_recommendation,bbh_navigate,bbh_object_counting,bbh_penguins_in_a_table,bbh_reasoning_about_colored_objects,bbh_ruin_names,bbh_salient_translation_error_detection,bbh_snarks,bbh_sports_understanding,bbh_temporal_sequences,bbh_tracking_shuffled_objects_five_objects,bbh_tracking_shuffled_objects_seven_objects,bbh_tracking_shuffled_objects_three_objects,bbh_web_of_lies,gpqa_diamond,gpqa_extended,gpqa_main,math_algebra_hard,math_counting_and_prob_hard,math_geometry_hard,math_intermediate_algebra_hard,math_num_theory_hard,math_prealgebra_hard,math_precalculus_hard,musr_murder_mysteries,musr_object_placements,musr_team_allocation,XWinograd,Arena-Elo,MTBench,hendrycksTest-abstract_algebra,hendrycksTest-anatomy,hendrycksTest-astronomy,hendrycksTest-business_ethics,hendrycksTest-clinical_knowledge,hendrycksTest-college_biology,hendrycksTest-college_chemistry,hendrycksTest-college_computer_science,hendrycksTest-college_mathematics,hendrycksTest-college_medicine,hendrycksTest-college_physics,hendrycksTest-computer_security,hendrycksTest-conceptual_physics,hendrycksTest-econometrics,hendrycksTest-electrical_engineering,hendrycksTest-elementary_mathematics,hendrycksTest-formal_logic,hendrycksTest-global_facts,hendrycksTest-high_school_biology,hendrycksTest-high_school_chemistry,hendrycksTest-high_school_computer_science,hendrycksTest-high_school_european_history,hendrycksTest-high_school_geography,hendrycksTest-high_school_government_and_politics,hendrycksTest-high_school_macroeconomics,hendrycksTest-high_school_mathematics,hendrycksTest-high_school_microeconomics,hendrycksTest-high_school_physics,hendrycksTest-high_school_psychology,hendrycksTest-high_school_statistics,hendrycksTest-high_school_us_history,hendrycksTest-high_school_world_history,hendrycksTest-human_aging,hendrycksTest-human_sexuality,hendrycksTest-international_law,hendrycksTest-jurisprudence,hendrycksTest-logical_fallacies,hendrycksTest-machine_learning,hendrycksTest-management,hendrycksTest-marketing,hendrycksTest-medical_genetics,hendrycksTest-miscellaneous,hendrycksTest-moral_disputes,hendrycksTest-moral_scenarios,hendrycksTest-nutrition,hendrycksTest-philosophy,hendrycksTest-prehistory,hendrycksTest-professional_accounting,hendrycksTest-professional_law,hendrycksTest-professional_medicine,hendrycksTest-professional_psychology,hendrycksTest-public_relations,hendrycksTest-security_studies,hendrycksTest-sociology,hendrycksTest-us_foreign_policy,hendrycksTest-virology,hendrycksTest-world_religions,MMLU,ARC,HellaSwag,Winogrande,TruthfulQA,GSM8K,HumanEval,Family2
0,bloom,bloom,False,,176.0,0.366,386.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.735544419185708,,,0.24,0.3555555555555555,0.25,0.41,0.3169811320754717,0.2847222222222222,0.18,0.31,0.29,0.2485549132947976,0.2058823529411764,0.34,0.3276595744680851,0.2456140350877192,0.3172413793103448,0.2804232804232804,0.246031746031746,0.35,0.2967741935483871,0.2807881773399014,0.29,0.2787878787878788,0.3787878787878788,0.2953367875647668,0.2230769230769231,0.2740740740740741,0.2478991596638655,0.2450331125827814,0.4,0.2129629629629629,0.3039215686274509,0.3206751054852321,0.3901345291479821,0.3282442748091603,0.371900826446281,0.3796296296296296,0.2822085889570552,0.2678571428571428,0.2621359223300971,0.4230769230769231,0.4,0.4010217113665389,0.3670520231213873,0.2424581005586592,0.284313725490196,0.3569131832797427,0.324074074074074,0.2907801418439716,0.2783572359843546,0.2463235294117647,0.3218954248366013,0.3363636363636363,0.310204081632653,0.3233830845771144,0.4,0.3072289156626506,0.4444444444444444,0.3085400905932378,0.5042662116040956,0.7640908185620394,0.7205998421468035,0.3975962282334165,0.068991660348749,0.1219512195121951,bloom
1,bloom-1b1,bloom,False,2023-08-09,1.0,0.341,2.0460000000000003,0.14,0.31,0.0,0.26,0.37,0.11,0.54,0.5240641711229946,0.172,0.352,0.556,0.012,0.516,0.228,0.128,0.332,0.28,0.42,0.056,0.1917808219178082,0.176,0.244,0.228,0.5056179775280899,0.556,0.28,0.188,0.132,0.324,0.516,0.2626262626262626,0.2692307692307692,0.2455357142857142,0.003257328990228,0.0,0.0,0.0,0.0,0.005181347150259,0.0,0.5,0.25,0.36,0.6095129616265768,,,0.25,0.3555555555555555,0.2171052631578947,0.21,0.2566037735849056,0.2569444444444444,0.18,0.35,0.28,0.2369942196531791,0.3235294117647059,0.25,0.2042553191489361,0.2368421052631578,0.296551724137931,0.2671957671957672,0.1507936507936507,0.17,0.2645161290322581,0.2561576354679803,0.3,0.3090909090909091,0.3484848484848485,0.3626943005181347,0.2641025641025641,0.2629629629629629,0.2100840336134453,0.2847682119205298,0.3211009174311927,0.4351851851851852,0.2647058823529412,0.2995780590717299,0.242152466367713,0.2213740458015267,0.3801652892561983,0.2037037037037037,0.3190184049079754,0.1964285714285714,0.4077669902912621,0.2008547008547008,0.2,0.2630906768837803,0.222543352601156,0.2279329608938547,0.2483660130718954,0.2958199356913183,0.2654320987654321,0.2659574468085106,0.2614080834419817,0.3455882352941176,0.2745098039215686,0.1909090909090909,0.2653061224489796,0.2487562189054726,0.27,0.2349397590361445,0.2923976608187134,0.2670214825620786,0.2832764505119454,0.4278032264489145,0.5501183898973955,0.4179716703713765,0.0022744503411675,0.0,bloom
2,bloom-3b,bloom,False,2023-10-19,3.0,0.341,6.138000000000001,0.13,0.31,0.0,0.24,0.4,0.11,0.492,0.4919786096256685,0.176,0.3,0.468,0.284,0.48,0.216,0.156,0.324,0.284,0.424,0.116,0.1780821917808219,0.144,0.284,0.176,0.5449438202247191,0.468,0.264,0.164,0.112,0.316,0.488,0.2272727272727272,0.271062271062271,0.2075892857142857,0.0,0.0,0.0,0.0035714285714285,0.0,0.0,0.0,0.496,0.2421875,0.456,0.664767416287304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2659250919932785,0.3575085324232082,0.54371639115714,0.5761641673243884,0.4057246298885345,0.0151630022744503,0.0182926829268292,bloom
3,bloom-560m,bloom,False,2023-08-09,0.56,0.341,1.1457600000000001,0.06,0.3,0.0,0.26,0.4,0.12,0.46,0.5187165775401069,0.172,0.32,0.532,0.176,0.488,0.184,0.136,0.34,0.244,0.42,0.068,0.2123287671232876,0.148,0.248,0.152,0.5112359550561798,0.46,0.312,0.176,0.136,0.32,0.528,0.2676767676767677,0.2728937728937728,0.2455357142857142,0.0,0.0,0.0,0.0,0.0064935064935064,0.0,0.0,0.504,0.28125,0.424,0.5785515149379533,,,0.23,0.2148148148148148,0.1776315789473684,0.17,0.2566037735849056,0.2152777777777778,0.21,0.33,0.24,0.2080924855491329,0.2156862745098039,0.28,0.2638297872340425,0.2894736842105263,0.2758620689655172,0.246031746031746,0.2063492063492063,0.18,0.1967741935483871,0.1970443349753694,0.3,0.2,0.1767676767676767,0.2072538860103626,0.2153846153846154,0.237037037037037,0.2058823529411764,0.1788079470198675,0.1981651376146789,0.4722222222222222,0.2058823529411764,0.2320675105485232,0.2690582959641255,0.2595419847328244,0.2148760330578512,0.2592592592592592,0.2760736196319018,0.375,0.174757281553398,0.2521367521367521,0.3,0.2630906768837803,0.2543352601156069,0.2335195530726257,0.2352941176470588,0.1897106109324758,0.2253086419753086,0.2446808510638297,0.2457627118644068,0.4227941176470588,0.25,0.2181818181818181,0.2408163265306122,0.263681592039801,0.22,0.2831325301204819,0.1988304093567251,0.2421541212062042,0.2474402730375426,0.371539533957379,0.5193370165745856,0.4244428174437842,0.00303260045489,0.0060975609756097,bloom
4,bloom-7b1,bloom,False,2023-08-01,7.0,0.341,14.322000000000001,0.13,0.31,0.0,0.26,0.35,0.11,0.588,0.5133689839572193,0.168,0.3,0.468,0.18,0.476,0.188,0.144,0.34,0.276,0.436,0.26,0.2260273972602739,0.156,0.28,0.144,0.4775280898876404,0.472,0.252,0.172,0.108,0.336,0.512,0.2777777777777778,0.2728937728937728,0.2477678571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.24609375,0.332,0.697719119485617,,,0.26,0.2444444444444444,0.1776315789473684,0.26,0.2754716981132075,0.1944444444444444,0.21,0.32,0.32,0.2080924855491329,0.2058823529411764,0.23,0.3234042553191489,0.2368421052631578,0.2482758620689655,0.2751322751322751,0.1666666666666666,0.33,0.2548387096774193,0.270935960591133,0.35,0.2666666666666666,0.2272727272727272,0.2072538860103626,0.2307692307692307,0.2666666666666666,0.226890756302521,0.23841059602649,0.2477064220183486,0.3842592592592592,0.2647058823529412,0.2658227848101265,0.3632286995515695,0.2290076335877862,0.3636363636363636,0.287037037037037,0.2576687116564417,0.2946428571428571,0.2524271844660194,0.2521367521367521,0.26,0.2886334610472541,0.245664739884393,0.2424581005586592,0.2320261437908496,0.2733118971061093,0.2623456790123457,0.2659574468085106,0.2529335071707953,0.2095588235294117,0.261437908496732,0.3272727272727272,0.3020408163265306,0.2388059701492537,0.21,0.3072289156626506,0.2923976608187134,0.262462223757257,0.4112627986348123,0.6199960167297351,0.654301499605367,0.3889784219035787,0.0136467020470053,0.048780487804878,bloom
5,blossom-v5.1-34b,yi-1.5,True,2024-05-26,34.0,3.5,714.0,0.57,0.61,0.14,0.31,0.39,0.45,0.924,0.6256684491978609,0.636,0.724,0.62,0.4,0.776,0.556,0.544,0.784,0.684,0.48,0.488,0.6095890410958904,0.776,0.816,0.58,0.8146067415730337,0.736,0.816,0.236,0.224,0.324,0.488,0.3282828282828283,0.304029304029304,0.3080357142857143,0.3224755700325732,0.048780487804878,0.0378787878787878,0.0285714285714285,0.1168831168831168,0.2590673575129533,0.037037037037037,0.52,0.234375,0.424,,,,0.58,0.7925925925925926,0.8881578947368421,0.81,0.8037735849056604,0.8541666666666666,0.54,0.69,0.52,0.7225433526011561,0.5882352941176471,0.86,0.8212765957446808,0.6578947368421053,0.8206896551724138,0.716931216931217,0.6825396825396826,0.54,0.8935483870967742,0.6995073891625616,0.86,0.8606060606060606,0.9242424242424242,0.9740932642487048,0.8307692307692308,0.5037037037037037,0.8823529411764706,0.5629139072847682,0.908256880733945,0.7546296296296297,0.8970588235294118,0.8860759493670886,0.7937219730941704,0.8702290076335878,0.9008264462809916,0.8425925925925926,0.8773006134969326,0.625,0.8543689320388349,0.9487179487179488,0.84,0.9042145593869731,0.8179190751445087,0.7675977653631285,0.8594771241830066,0.8070739549839229,0.8611111111111112,0.6418439716312057,0.5834419817470665,0.8308823529411765,0.7990196078431373,0.7454545454545455,0.8244897959183674,0.8706467661691543,0.87,0.5662650602409639,0.8596491228070176,0.7805,0.6758,0.8583,0.8343,0.6184000000000001,0.6557999999999999,,blossom-v5.1
6,blossom-v5.1-9b,yi-1.5,True,2024-07-17,9.0,3.5,189.0,0.51,0.53,0.1,0.34,0.4,0.4,0.84,0.5828877005347594,0.54,0.652,0.612,0.416,0.636,0.476,0.416,0.708,0.604,0.6,0.432,0.5958904109589042,0.664,0.68,0.54,0.601123595505618,0.816,0.396,0.124,0.12,0.276,0.496,0.3434343434343434,0.3461538461538461,0.3191964285714285,0.2280130293159609,0.065040650406504,0.0454545454545454,0.0178571428571428,0.0454545454545454,0.2072538860103626,0.0222222222222222,0.508,0.2421875,0.448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blossom-v5.1
7,codegen-16b-nl,codegen,False,,16.0,0.36,34.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.3259259259259259,0.3026315789473684,0.28,0.3169811320754717,0.3333333333333333,0.26,0.28,0.3,0.2774566473988439,0.2549019607843137,0.41,0.3404255319148936,0.2456140350877192,0.4275862068965517,0.2407407407407407,0.238095238095238,0.29,0.3161290322580645,0.2266009852216748,0.31,0.303030303030303,0.3535353535353535,0.3367875647668393,0.2307692307692307,0.2703703703703703,0.2436974789915966,0.2980132450331126,0.2844036697247706,0.199074074074074,0.3529411764705882,0.3417721518987341,0.3766816143497757,0.3816793893129771,0.4297520661157025,0.3981481481481481,0.2883435582822086,0.3303571428571428,0.2912621359223301,0.3675213675213675,0.43,0.3742017879948914,0.3670520231213873,0.28268156424581,0.3790849673202614,0.3344051446945337,0.3611111111111111,0.2553191489361702,0.3239895697522816,0.2977941176470588,0.2973856209150327,0.3545454545454545,0.4285714285714285,0.3781094527363184,0.5,0.3313253012048193,0.391812865497076,0.3235430166341825,0.4675767918088737,0.7186815375423222,0.6795580110497238,0.3394667243139816,0.026535253980288,0.32899999999999996,codegen-nl
8,codegen-6b-nl,codegen,False,,6.0,0.36,12.959999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.2296296296296296,0.1842105263157894,0.31,0.2754716981132075,0.2986111111111111,0.15,0.29,0.23,0.2601156069364161,0.2156862745098039,0.37,0.2595744680851063,0.2543859649122807,0.2413793103448276,0.2513227513227513,0.2857142857142857,0.25,0.2935483870967741,0.1625615763546798,0.24,0.2181818181818181,0.1868686868686868,0.2279792746113989,0.2358974358974359,0.2074074074074074,0.2226890756302521,0.2649006622516556,0.2311926605504587,0.162037037037037,0.2647058823529412,0.2827004219409282,0.3273542600896861,0.2519083969465648,0.396694214876033,0.287037037037037,0.2085889570552147,0.3125,0.3106796116504854,0.3076923076923077,0.34,0.2694763729246487,0.2630057803468208,0.2804469273743016,0.2320261437908496,0.2218649517684887,0.2438271604938271,0.2801418439716312,0.2653194263363755,0.1911764705882352,0.284313725490196,0.3181818181818182,0.2489795918367346,0.2786069651741293,0.32,0.3012048192771084,0.2748538011695906,0.2593447813552416,0.4232081911262799,0.6859191396136228,0.664561957379637,0.3447046127321627,0.0219863532979529,0.293,codegen-nl
9,codellama-13b,codellama,False,,13.0,2.52,196.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7349485725777912,,,0.29,0.3259259259259259,0.2960526315789473,0.27,0.3018867924528302,0.2291666666666666,0.4,0.27,0.31,0.3005780346820809,0.3137254901960784,0.3,0.3361702127659574,0.2368421052631578,0.4275862068965517,0.2645502645502645,0.2222222222222222,0.24,0.3419354838709677,0.2660098522167488,0.24,0.2727272727272727,0.4696969696969697,0.4715025906735751,0.341025641025641,0.2666666666666666,0.3445378151260504,0.23841059602649,0.3192660550458716,0.4814814814814814,0.3088235294117647,0.3628691983122363,0.3901345291479821,0.3587786259541984,0.256198347107438,0.3148148148148148,0.3006134969325153,0.25,0.3883495145631068,0.5213675213675214,0.37,0.438058748403576,0.2167630057803468,0.2536312849162011,0.3431372549019608,0.3890675241157556,0.3672839506172839,0.2695035460992908,0.2966101694915254,0.3051470588235294,0.2794117647058823,0.3,0.3224489795918367,0.417910447761194,0.51,0.3493975903614458,0.4327485380116959,0.3280883582272197,0.4087030716723549,0.6335391356303525,0.6716653512233622,0.4379426977660279,0.1213040181956027,0.42700000000000005,codellama
