,model,base_model,family,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,ifeval,bbh,math,mmlu-pro,gpqa,musr
0,matter-0.1-7b,,matter-0.1,0.6177474402730375,0.8213503286197968,0.6242373141477038,0.42439512814935104,0.7782162588792423,0.5375284306292646,,,,,,
1,matter-0.1-7b-dpo-preview,,matter-0.1-dpo-preview,0.6271331058020477,0.8299143596893049,0.6270029890832761,0.4579010104878946,0.7884767166535123,0.5617892342683851,,,,,,
2,matter-0.1-7b-boost,,matter-0.1-boost,0.6262798634812287,0.8150766779525991,0.6196761775610533,0.5470240437403702,0.7592738752959748,0.4260803639120546,,,,,,
3,matter-0.1-7b-boost-dpo,,matter-0.1-boost-dpo,0.6501706484641638,0.8308105954989046,0.6187380519083223,0.6029363233989143,0.7561168113654301,0.5003790750568613,,,,,,
4,matter-0.1-7b-boost-dpo-preview,,matter-0.1-boost-dpo-preview,0.6459044368600683,0.8287193786098386,0.6201762470835063,0.5885916212997572,0.7584846093133386,0.5041698256254739,,,,,,
5,matter-0.1-slim-7b,,matter-0.1-slim,0.6049488054607508,0.8132842063333997,0.6068136829879497,0.4178982620141241,0.7734806629834254,0.38134950720242616,,,,,,
6,matter-0.1-slim-7b-a,,matter-0.1-slim-a,0.6049488054607508,0.8132842063333997,0.6068136829879497,0.4178982620141241,0.7734806629834254,0.38134950720242616,,,,,,
7,matter-0.1-slim-7b-b,,matter-0.1-slim-b,0.6075085324232082,0.8154750049790879,0.6100698063926059,0.4190848495351186,0.7782162588792423,0.40636846095526913,,,,,,
8,matter-0.1-slim-7b-c,,matter-0.1-slim-c,0.613481228668942,0.8175662218681538,0.614507092174214,0.4348813666346923,0.7797947908445146,0.4738438210765732,,,,,,
9,matter-0.1-slim-7b-c-dpo,,matter-0.1-slim-c-dpo,0.6348122866894198,0.8312089225253934,0.6062934614294834,0.4652709265192007,0.7845303867403315,0.4844579226686884,,,,,,
10,matter-0.1-slim-7b-preview,,matter-0.1-slim-preview,0.5998293515358362,0.8066122286397132,0.6152835237015458,0.4254557040115868,0.7734806629834254,0.4700530705079606,,,,,,
11,matter-0.2-32b,,matter-0.2,0.6322525597269625,0.842162915753834,0.7433913310129402,0.5251892212664137,0.8200473559589583,0.5602729340409401,,,,,,
12,matter-0.2-7b,,matter-0.2,0.6160409556313993,0.8239394542919737,0.6251254860656542,0.48108859708751195,0.7947908445146016,0.5390447308567097,,,,,,
13,matter-0.2-7b-dpo,matter-0.2-7b-dpo,matter-0.2-dpo,0.6331058020477816,0.8316072495518821,0.6289652043503271,0.5030082038523329,0.8026835043409629,0.5693707354056103,0.3302792147058693,0.10055525080241035,0.008308157099697885,0.01817375886524822,0.01230425055928408,0.05871874999999999
14,yi-1.5-34b,yi-1.5-34b,yi-1.5,0.6578498293515358,0.8610834495120494,0.779957192730956,0.5384452997155903,0.840568271507498,0.7323730098559514,0.28411725333226945,0.42749362688396525,0.15181268882175228,0.4073212174940897,0.15436241610738258,0.11217187500000003
15,yi-1.5-34b-32k,yi-1.5-34b-32k,yi-1.5-32k,0.64419795221843,0.8554072893845848,0.7815303198667405,0.5211440286133998,0.839779005524862,0.0,0.3118691737922047,0.43381846667625723,0.15105740181268884,0.4121232269503546,0.15100671140939595,0.1407786458333333
