,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k,ifeval,bbh,math,mmlu-pro,gpqa,musr
1,bloom-1b1,bloom,1.0,0.341,2.0460000000000003,0.2832764505119454,0.4278032264489145,0.2670214825620786,0.4179716703713765,0.5501183898973955,0.0022744503411675,0.14,0.31,0.0,0.11,0.26,0.37
2,bloom-3b,bloom,3.0,0.341,6.138000000000001,0.3575085324232082,0.54371639115714,0.2659250919932785,0.4057246298885345,0.5761641673243884,0.0151630022744503,0.13,0.31,0.0,0.11,0.24,0.4
3,bloom-560m,bloom,0.56,0.341,1.14576,0.2474402730375426,0.371539533957379,0.2421541212062042,0.4244428174437842,0.5193370165745856,0.00303260045489,0.06,0.3,0.0,0.12,0.26,0.4
4,bloom-7b1,bloom,7.0,0.341,14.322,0.4112627986348123,0.6199960167297351,0.262462223757257,0.3889784219035787,0.654301499605367,0.0136467020470053,0.13,0.31,0.0,0.11,0.26,0.35
5,blossom-v5.1-34b,blossom-v5.1,34.0,3.5,714.0,0.6758,0.8583,0.7805,0.6184000000000001,0.8343,0.6557999999999999,0.57,0.61,0.14,0.45,0.31,0.39
20,dolly-v2-12b,dolly-v2,12.0,0.25,18.0,0.4240614334470989,0.7252539334793866,0.258084228257613,0.3382708132669227,0.6085240726124704,0.0121304018195602,0.24,0.33,0.01,0.11,0.24,0.37
22,dolly-v2-7b,dolly-v2,6.9,0.25,10.35,0.4454,0.6964,0.2518,0.3488,0.6006,0.0113999999999999,0.2,0.32,0.01,0.11,0.27,0.36
23,dolphin-2.9.1-yi-1.5-34b,dolphin-2.9.1-yi-1.5,34.0,3.5,714.0,0.6937000000000001,0.8553000000000001,0.7752,0.6234000000000001,0.8256,0.7301000000000001,0.39,0.61,0.15,0.45,0.34,0.46
24,dolphin-2.9.1-yi-1.5-9b,dolphin-2.9.1-yi-1.5,9.0,3.5,189.0,0.6561,0.8101999999999999,0.7081999999999999,0.5372,0.7703,0.6535,0.45,0.55,0.1,0.4,0.34,0.43
28,falcon-40b,falcon,40.0,1.0,240.0,0.6194539249146758,0.8528181637124079,0.5697970049781053,0.4171692245008122,0.8129439621152328,0.2145564821834723,0.25,0.4,0.01,0.25,0.27,0.36
30,falcon-7b,falcon,7.0,1.5,63.0,0.4786689419795222,0.7813184624576778,0.2778547015328594,0.34263825539848,0.7237569060773481,0.0462471569370735,0.18,0.33,0.01,0.11,0.24,0.38
31,falcon-7b-instruct,falcon-instruct,7.0,1.5,63.0,0.4582,0.7078,0.2566,0.4407,0.6803,0.0462,0.2,0.32,0.01,0.12,0.25,0.36
37,gemma-2b,gemma,2.0,6.0,72.0,0.4837883959044368,0.7176857199761004,0.4177314644002597,0.3308443428097746,0.6629834254143646,0.1690674753601213,0.2,0.34,0.03,0.14,0.26,0.4
38,gemma-2b-it,gemma-it,2.0,6.0,72.0,0.4393999999999999,0.627,0.3765,0.4582,0.6093,0.0546,0.27,0.32,0.0,0.14,0.28,0.33
39,gemma-7b,gemma,7.0,6.0,252.0,0.6109215017064846,0.8247361083449513,0.6602745725247715,0.4490548840372056,0.7845303867403315,0.5276724791508719,0.27,0.44,0.06,0.29,0.29,0.41
