,model,family,size,tokens,flops,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
0,bloom,bloom,176.0,0.366,386.496,0.5042662116040956,0.7640908185620394,0.3085400905932378,0.3975962282334165,0.7205998421468035,0.068991660348749
1,bloom-1b1,bloom,1.0,0.341,2.0460000000000003,0.2832764505119454,0.4278032264489145,0.2670214825620786,0.4179716703713765,0.5501183898973955,0.0022744503411675
2,bloom-3b,bloom,3.0,0.341,6.138000000000001,0.3575085324232082,0.54371639115714,0.2659250919932785,0.4057246298885345,0.5761641673243884,0.0151630022744503
3,bloom-560m,bloom,0.56,0.341,1.14576,0.2474402730375426,0.371539533957379,0.2421541212062042,0.4244428174437842,0.5193370165745856,0.00303260045489
4,bloom-7b1,bloom,7.0,0.341,14.322,0.4112627986348123,0.6199960167297351,0.262462223757257,0.3889784219035787,0.654301499605367,0.0136467020470053
5,blossom-v5.1-34b,blossom-v5.1,34.0,3.5,714.0,0.6758,0.8583,0.7805,0.6184000000000001,0.8343,0.6557999999999999
7,codegen-16b-nl,codegen-nl,16.0,0.36,34.56,0.4675767918088737,0.7186815375423222,0.3235430166341825,0.3394667243139816,0.6795580110497238,0.026535253980288
8,codegen-6b-nl,codegen-nl,6.0,0.36,12.96,0.4232081911262799,0.6859191396136228,0.2593447813552416,0.3447046127321627,0.664561957379637,0.0219863532979529
9,codellama-13b,codellama,13.0,2.52,196.56,0.4087030716723549,0.6335391356303525,0.3280883582272197,0.4379426977660279,0.6716653512233622,0.1213040181956027
11,codellama-34b,codellama,34.0,2.52,514.08,0.5409556313993175,0.7582154949213304,0.5502083994428889,0.3911361839391881,0.7355958958168903,0.3434420015163002
13,codellama-70b,codellama,70.0,3.02,1268.4,0.5674061433447098,0.7821151165106552,0.5966658993115309,0.3978847741300497,0.7521704814522494,0.4397270659590599
14,codellama-70b-instruct,codellama-instruct,70.0,3.02,1268.4,0.5503,0.7724,0.564,0.5044,0.7451000000000001,0.4625
15,codellama-7b,codellama,7.0,2.52,105.84,0.3993174061433447,0.6080462059350727,0.3112206482914894,0.3782167557307672,0.6400947119179163,0.0515542077331311
17,deepseek-coder-1.3b-base,deepseek-coder-base,1.3,2.0,15.6,0.257679180887372,0.3927504481179048,0.2602473161943855,0.4261368206487197,0.5272296764009471,0.0295678544351781
18,deepseek-coder-33b-base,deepseek-coder-base,33.0,2.0,396.0,0.4249146757679181,0.5998805018920533,0.4091373084583548,0.3997018824188119,0.6243093922651933,0.3002274450341167
19,deepseek-coder-6.7b-base,deepseek-coder-base,6.7,2.0,80.4,0.3703071672354949,0.5345548695478988,0.3839143097701981,0.402813120561078,0.5808997632202052,0.1796815769522365
20,dolly-v2-12b,dolly-v2,12.0,0.25,18.0,0.4240614334470989,0.7252539334793866,0.258084228257613,0.3382708132669227,0.6085240726124704,0.0121304018195602
22,dolly-v2-7b,dolly-v2,6.9,0.25,10.35,0.4454,0.6964,0.2518,0.3488,0.6006,0.0113999999999999
23,dolphin-2.9.1-yi-1.5-34b,dolphin-2.9.1-yi-1.5,34.0,3.5,714.0,0.6937000000000001,0.8553000000000001,0.7752,0.6234000000000001,0.8256,0.7301000000000001
24,dolphin-2.9.1-yi-1.5-9b,dolphin-2.9.1-yi-1.5,9.0,3.5,189.0,0.6561,0.8101999999999999,0.7081999999999999,0.5372,0.7703,0.6535
