,model,family,size,tokens,flops,ifeval,bbh,math,mmlu-pro,gpqa,musr
1,bloom-1b1,bloom,1.0,0.341,2.0460000000000003,0.14,0.31,0.0,0.11,0.26,0.37
2,bloom-3b,bloom,3.0,0.341,6.138000000000001,0.13,0.31,0.0,0.11,0.24,0.4
3,bloom-560m,bloom,0.56,0.341,1.14576,0.06,0.3,0.0,0.12,0.26,0.4
4,bloom-7b1,bloom,7.0,0.341,14.322,0.13,0.31,0.0,0.11,0.26,0.35
5,blossom-v5.1-34b,blossom-v5.1,34.0,3.5,714.0,0.57,0.61,0.14,0.45,0.31,0.39
6,blossom-v5.1-9b,blossom-v5.1,9.0,3.5,189.0,0.51,0.53,0.1,0.4,0.34,0.4
20,dolly-v2-12b,dolly-v2,12.0,0.25,18.0,0.24,0.33,0.01,0.11,0.24,0.37
21,dolly-v2-3b,dolly-v2,2.8,0.25,4.199999999999999,0.22,0.31,0.01,0.11,0.26,0.33
22,dolly-v2-7b,dolly-v2,6.9,0.25,10.35,0.2,0.32,0.01,0.11,0.27,0.36
23,dolphin-2.9.1-yi-1.5-34b,dolphin-2.9.1-yi-1.5,34.0,3.5,714.0,0.39,0.61,0.15,0.45,0.34,0.46
24,dolphin-2.9.1-yi-1.5-9b,dolphin-2.9.1-yi-1.5,9.0,3.5,189.0,0.45,0.55,0.1,0.4,0.34,0.43
25,dolphin-2.9.2-qwen2-72b,dolphin-2.9.2-qwen2,72.0,7.0,3024.0,0.4,0.63,0.21,0.55,0.37,0.45
26,dolphin-2.9.2-qwen2-7b,dolphin-2.9.2-qwen2,7.0,7.0,294.0,0.35,0.49,0.12,0.41,0.29,0.42
28,falcon-40b,falcon,40.0,1.0,240.0,0.25,0.4,0.01,0.25,0.27,0.36
29,falcon-40b-instruct,falcon-instruct,40.0,1.0,240.0,0.25,0.41,0.02,0.23,0.25,0.38
30,falcon-7b,falcon,7.0,1.5,63.0,0.18,0.33,0.01,0.11,0.24,0.38
31,falcon-7b-instruct,falcon-instruct,7.0,1.5,63.0,0.2,0.32,0.01,0.12,0.25,0.36
33,gemma-2-2b,gemma-2,2.0,8.0,96.0,0.2,0.37,0.02,0.22,0.26,0.42
34,gemma-2-2b-it,gemma-2-it,2.0,8.0,96.0,0.57,0.42,0.0,0.25,0.27,0.39
35,gemma-2-9b,gemma-2,9.0,13.0,702.0,0.21,0.54,0.11,0.41,0.33,0.45
36,gemma-2-9b-it,gemma-2-it,9.0,13.0,702.0,0.75,0.6,0.0,0.39,0.35,0.41
37,gemma-2b,gemma,2.0,6.0,72.0,0.2,0.34,0.03,0.14,0.26,0.4
38,gemma-2b-it,gemma-it,2.0,6.0,72.0,0.27,0.32,0.0,0.14,0.28,0.33
39,gemma-7b,gemma,7.0,6.0,252.0,0.27,0.44,0.06,0.29,0.29,0.41
40,gemma-7b-it,gemma-it,7.0,6.0,252.0,0.39,0.36,0.02,0.17,0.28,0.43
42,gpt-neo-1.3b,gpt-j-neo-neox,1.3,0.38,2.9640000000000004,0.21,0.3,0.01,0.12,0.26,0.38
44,gpt-neo-2.7b,gpt-j-neo-neox,2.7,0.42,6.804000000000001,0.26,0.31,0.01,0.12,0.27,0.36
50,llama-13b,llama,13.0,1.0,78.0,0.24,0.4,0.01,0.2,0.26,0.35
51,llama-2-13b,llama-2,13.0,2.0,156.0,0.25,0.41,0.01,0.24,0.28,0.35
52,llama-2-13b-chat,llama-2-chat,13.0,2.0,156.0,0.4,0.33,0.01,0.19,0.23,0.4
53,llama-2-70b,llama-2,70.0,2.0,840.0,0.24,0.55,0.02,0.37,0.3,0.41
54,llama-2-70b-chat,llama-2-chat,70.0,2.0,840.0,0.5,0.3,0.01,0.24,0.26,0.37
55,llama-2-7b,llama-2,7.0,2.0,84.0,0.25,0.35,0.01,0.19,0.27,0.37
56,llama-2-7b-chat,llama-2-chat,7.0,2.0,84.0,0.4,0.31,0.01,0.17,0.25,0.37
57,llama-3-sauerkrautlm-70b-instruct,llama-3-sauerkrautlm-instruct,70.0,15.0,6300.0,0.8,0.67,0.22,0.54,0.33,0.43
58,llama-3-sauerkrautlm-8b-instruct,llama-3-sauerkrautlm-instruct,8.0,15.0,720.0,0.74,0.49,0.06,0.39,0.31,0.42
60,llama-65b,llama,65.0,1.4,546.0,0.25,0.47,0.02,0.31,0.28,0.36
61,llama-7b,llama,7.0,1.0,42.0,0.25,0.33,0.01,0.13,0.25,0.34
62,meta-llama-3-70b,meta-llama-3,70.0,15.0,6300.0,0.16,0.65,0.17,0.47,0.4,0.45
63,meta-llama-3-70b-instruct,meta-llama-3-instruct,70.0,15.0,6300.0,0.81,0.65,0.23,0.52,0.29,0.42
64,meta-llama-3-8b,meta-llama-3,8.0,15.0,720.0,0.15,0.46,0.03,0.32,0.31,0.36
65,meta-llama-3-8b-instruct,meta-llama-3-instruct,8.0,15.0,720.0,0.74,0.5,0.09,0.37,0.26,0.36
76,olmo-1b,olmo,1.0,3.0,18.0,0.22,0.31,0.01,0.12,0.26,0.41
77,olmo-7b,olmo,7.0,2.5,105.0,0.27,0.33,0.01,0.12,0.27,0.35
83,openhermes-13b,openhermes,13.0,2.0,156.0,0.27,0.42,0.01,0.24,0.27,0.4
84,openhermes-7b,openhermes,7.0,2.0,84.0,0.18,0.36,0.01,0.19,0.27,0.43
85,opt-1.3b,opt,1.3,0.18,1.404,0.24,0.31,0.01,0.11,0.24,0.34
89,opt-30b,opt,30.0,0.18,32.4,0.25,0.31,0.01,0.12,0.27,0.36
93,orca-2-13b,orca-2,13.0,2.0,156.0,0.31,0.49,0.01,0.27,0.28,0.51
