,model,base_model,ifeval,bbh,math,mmlu-pro,gpqa,musr
0,0-hero/Matter-0.2-7B-DPO,0-hero/Matter-0.2-7B-DPO,0.3302792147058693,0.10055525080241035,0.008308157099697885,0.01817375886524822,0.01230425055928408,0.05871874999999999
1,01-ai/Yi-1.5-34B,01-ai/Yi-1.5-34B,0.28411725333226945,0.42749362688396525,0.15181268882175228,0.4073212174940897,0.15436241610738258,0.11217187500000003
2,01-ai/Yi-1.5-34B-32K,01-ai/Yi-1.5-34B-32K,0.3118691737922047,0.43381846667625723,0.15105740181268884,0.4121232269503546,0.15100671140939595,0.1407786458333333
3,01-ai/Yi-1.5-34B-Chat,01-ai/Yi-1.5-34B-Chat,0.6066758423205982,0.44262825981005655,0.24924471299093656,0.3911606087470449,0.15324384787472037,0.13058072916666666
4,01-ai/Yi-1.5-34B-Chat-16K,01-ai/Yi-1.5-34B-Chat-16K,0.456449997118756,0.44536156546710337,0.20392749244712996,0.3938386524822695,0.1174496644295302,0.13736718750000002
5,01-ai/Yi-1.5-6B,01-ai/Yi-1.5-6B,0.2616601727859857,0.22027904536694773,0.06344410876132932,0.23823507683215125,0.08501118568232664,0.13309114583333334
6,01-ai/Yi-1.5-6B-Chat,01-ai/Yi-1.5-6B-Chat,0.5145270105542183,0.23678723132357843,0.054380664652567974,0.24368351063829788,0.06935123042505593,0.14030468750000002
7,01-ai/Yi-1.5-9B,01-ai/Yi-1.5-9B,0.29358435617494916,0.3050071699492122,0.11329305135951664,0.32402482269503546,0.17225950782997765,0.12030989583333332
8,01-ai/Yi-1.5-9B-32K,01-ai/Yi-1.5-9B-32K,0.23031113002389214,0.28937011582169664,0.10649546827794562,0.30721778959810875,0.145413870246085,0.1082682291666667
9,01-ai/Yi-1.5-9B-Chat,01-ai/Yi-1.5-9B-Chat,0.6045525871354672,0.36952931384178933,0.12764350453172205,0.3305814125295508,0.11297539149888143,0.12838281249999997
10,01-ai/Yi-1.5-9B-Chat-16K,01-ai/Yi-1.5-9B-Chat-16K,0.4214040966856828,0.3149760894701832,0.13444108761329307,0.33261303191489355,0.07829977628635347,0.1003828125
11,01-ai/Yi-34B,01-ai/Yi-34B,0.3045751938190668,0.35542431259008794,0.052114803625377654,0.37906323877068554,0.15548098434004473,0.09648437500000004
12,01-ai/Yi-34B-200K,01-ai/Yi-34B-200K,0.15424850507763843,0.3602211028900003,0.04984894259818731,0.39273049645390073,0.14205816554809844,0.09414843749999997
13,01-ai/Yi-34B-Chat,01-ai/Yi-34B-Chat,0.4698887839820566,0.37623987597243486,0.04682779456193354,0.34369459219858167,0.1174496644295302,0.08363802083333338
14,01-ai/Yi-6B,01-ai/Yi-6B,0.28933784580468713,0.19408504737915055,0.015861027190332326,0.22124335106382978,0.02572706935123044,0.07044270833333335
15,01-ai/Yi-6B-200K,01-ai/Yi-6B-200K,0.08433068702154728,0.20148020103768047,0.01435045317220544,0.20489804964539007,0.04250559284116329,0.16842447916666667
16,01-ai/Yi-6B-Chat,01-ai/Yi-6B-Chat,0.3395213588833185,0.1700016656742376,0.0067975830815709985,0.22900044326241129,0.059284116331096204,0.03565625
17,01-ai/Yi-9B,01-ai/Yi-9B,0.2708779372066118,0.27626956112077933,0.053625377643504536,0.2859781323877068,0.09060402684563762,0.08909114583333334
18,01-ai/Yi-9B-200K,01-ai/Yi-9B-200K,0.2327092115586643,0.2649249509714754,0.06722054380664653,0.291334219858156,0.08724832214765099,0.12109114583333332
19,01-ai/Yi-Coder-9B-Chat,01-ai/Yi-Coder-9B,0.4817041006750976,0.2594315294491389,0.03323262839879154,0.1583554964539007,0.0,0.07963802083333334
20,152334H/miqu-1-70b-sf,152334H/miqu-1-70b-sf,0.5181740005407873,0.43807147003691965,0.12235649546827795,0.35865469858156024,0.13422818791946312,0.17209375
21,1TuanPham/T-VisStar-7B-v0.1,1TuanPham/T-VisStar-7B-v0.1,0.3607040430502179,0.30243834478825987,0.0513595166163142,0.24562278368794324,0.04697986577181204,0.1355416666666667
22,1TuanPham/T-VisStar-v0.1,1TuanPham/T-VisStar-v0.1,0.3607040430502179,0.30243834478825987,0.0513595166163142,0.24562278368794324,0.04697986577181204,0.1355416666666667
23,3rd-Degree-Burn/L-3.1-Science-Writer-8B,Removed,0.4262501274396379,0.2919930078641656,0.1027190332326284,0.2943816489361702,0.03243847874720355,0.11693489583333332
24,3rd-Degree-Burn/Llama-3.1-8B-Squareroot,3rd-Degree-Burn/Llama-3.1-8B-Squareroot (Merge),0.22134381219608415,0.08618063681935198,0.2273413897280967,0.08327792553191489,0.008948545861297527,0.007812499999999996
25,3rd-Degree-Burn/Llama-3.1-8B-Squareroot-v1,Removed,0.2892381104358657,0.06515144725982737,0.06193353474320242,0.014110520094562635,0.007829977628635318,0.017578124999999993
26,3rd-Degree-Burn/Llama-Squared-8B,Removed,0.2755244972229241,0.21277103190106816,0.04531722054380666,0.15179890661938533,0.029082774049216997,0.01951822916666667
27,4season/final_model_test_v2,4season/final_model_test_v2,0.3191132860809319,0.47410670136906424,0.013595166163141997,0.2808990839243498,0.10290827740492169,0.12430989583333334
28,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,AALF/FuseChat-Llama-3.1-8B-Instruct-preview,0.7189579205397234,0.3084806521622957,0.0702416918429003,0.30361628250591016,0.0738255033557047,0.061500000000000055
29,AALF/FuseChat-Llama-3.1-8B-SFT-preview,AALF/FuseChat-Llama-3.1-8B-SFT-preview,0.7280504616639405,0.3253678156315301,0.11404833836858005,0.3048167848699764,0.0727069351230425,0.09749999999999998
30,AALF/gemma-2-27b-it-SimPO-37K,google/gemma-2-27b,0.24065257959990605,0.15307880971954302,0.0,0.10793439716312056,0.04026845637583895,0.01595052083333333
31,AALF/gemma-2-27b-it-SimPO-37K-100steps,google/gemma-2-27b,0.2567642743476199,0.15261078322847055,0.0,0.12501846926713947,0.05145413870246088,0.007812499999999996
32,AELLM/gemma-2-aeria-infinity-9b,AELLM/gemma-2-aeria-infinity-9b (Merge),0.7593995044260342,0.42090214231377504,0.0,0.3180223108747045,0.11185682326621922,0.09046093750000005
33,AELLM/gemma-2-lyco-infinity-9b,AELLM/gemma-2-lyco-infinity-9b (Merge),0.731647583966099,0.3978753882674737,0.0,0.3096187943262411,0.10402684563758392,0.08912760416666671
34,AGI-0/Artificium-llama3.1-8B-001,Removed,0.5247687247614108,0.19348898073239648,0.11027190332326281,0.2423906619385342,0.021252796420581685,0.051656250000000015
35,AGI-0/smartllama3.1-8B-001,Removed,0.35178659290682057,0.248577369132814,0.11858006042296072,0.2762817671394799,0.07494407158836691,0.14397395833333332
36,AI-MO/NuminaMath-7B-CoT,deepseek-ai/deepseek-math-7b-base,0.2688544173903022,0.19152364282090306,0.08836858006042297,0.2075760933806146,0.021252796420581685,0.008263020833333334
37,AI-MO/NuminaMath-7B-TIR,deepseek-ai/deepseek-math-7b-base,0.27562423259174545,0.1687354725795866,0.0188821752265861,0.19252364066193853,0.011185682326621947,0.04199218749999999
38,AI-Sweden-Models/Llama-3-8B-instruct,meta-llama/Meta-Llama-3-8B,0.24012841482821137,0.18388095615027525,0.004531722054380665,0.17747118794326236,0.021252796420581685,0.19936718749999996
39,AI-Sweden-Models/gpt-sw3-40b,AI-Sweden-Models/gpt-sw3-40b,0.1470298807164989,0.06894934050796576,0.00906344410876133,0.03064051418439715,0.0,0.028382812499999997
40,Aashraf995/Creative-7B-nerd,Aashraf995/Creative-7B-nerd (Merge),0.4721871301480073,0.37080153817355194,0.2854984894259819,0.38802083333333337,0.1017897091722595,0.14942708333333335
41,Aashraf995/Gemma-Evo-10B,Aashraf995/Gemma-Evo-10B (Merge),0.7332211864519474,0.4342455936867185,0.20090634441087613,0.363918439716312,0.13870246085011187,0.1666822916666666
42,Aashraf995/Qwen-Evo-7B,Aashraf995/Qwen-Evo-7B (Merge),0.4757343847657549,0.38585326990506125,0.2998489425981873,0.3846963652482269,0.10067114093959727,0.15534895833333334
43,Aashraf995/QwenStock-14B,Aashraf995/QwenStock-14B (Merge),0.5008632650256873,0.5043389870716875,0.33383685800604224,0.4869237588652482,0.18568232662192394,0.19274218750000002
44,AbacusResearch/Jallabi-34B,AbacusResearch/Jallabi-34B,0.35286041037779753,0.43615764987195055,0.03927492447129909,0.40907579787234044,0.11856823266219241,0.2023880208333333
45,Ahdoot/StructuredThinker-v0.3-MoreStructure,Ahdoot/StructuredThinker-v0.3-MoreStructure (Merge),0.41928084150055184,0.2725854177780241,0.2348942598187311,0.2900413711583924,0.06263982102908276,0.10011197916666667
46,Ahdoot/Test_StealthThinker,Ahdoot/Test_StealthThinker (Merge),0.42200361706937595,0.25366571749083094,0.14577039274924472,0.28856382978723405,0.06152125279642054,0.11938541666666666
47,Alepach/notHumpback-M0,meta-llama/Llama-3.2-3B,0.2541667220752049,0.015279159239453353,0.015105740181268883,0.015865100472813233,0.0,0.026166666666666668
48,Alepach/notHumpback-M1,meta-llama/Llama-3.2-3B,0.2420765790325226,0.02233131279750579,0.011329305135951661,0.009862588652482256,0.0,0.027794270833333332
49,Alibaba-NLP/gte-Qwen2-7B-instruct,Alibaba-NLP/gte-Qwen2-7B-instruct,0.22554045488193553,0.21925482485662362,0.038519637462235655,0.2579048463356974,0.0,0.06315104166666666
50,Alsebay/Qwen2.5-7B-test-novelist,Qwen/Qwen2.5-7B,0.5351600420218354,0.30417500036352996,0.1608761329305136,0.31839169621749414,0.05480984340044745,0.1829401041666667
51,ArliAI/ArliAI-RPMax-12B-v1.1,ArliAI/ArliAI-RPMax-12B-v1.1,0.5348852156721943,0.24809063317932772,0.1027190332326284,0.2649231678486998,0.04250559284116329,0.05563802083333336
52,ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,ArliAI/Llama-3.1-8B-ArliAI-RPMax-v1.1,0.6359016298975607,0.28787014099442826,0.1299093655589124,0.2834847813238771,0.044742729306487705,0.05310937500000001
53,Artples/L-MChat-7b,Artples/L-MChat-7b (Merge),0.5296646231997766,0.24201557388813272,0.09138972809667674,0.2554114952718676,0.0738255033557047,0.08124739583333333
54,Artples/L-MChat-Small,Artples/L-MChat-Small (Merge),0.32870561222002065,0.2685651550003135,0.017371601208459216,0.16269577423167847,0.02348993288590602,0.09265885416666662
55,Aryanne/SHBA,Aryanne/SHBA (Merge),0.7816560060639105,0.3247770265291174,0.17371601208459214,0.32134677895981084,0.0738255033557047,0.1111692708333333
56,Aryanne/SuperHeart,Aryanne/SuperHeart (Merge),0.5192234382549414,0.318935542126593,0.13897280966767372,0.32356309101654834,0.06823266219239373,0.14713281249999996
57,AtAndDev/Qwen2.5-1.5B-continuous-learnt,Removed,0.45105431366551857,0.19766408804078656,0.08534743202416918,0.2006501182033097,0.026845637583892648,0.02551822916666667
58,AuraIndustries/Aura-4B,AuraIndustries/Aura-4B (Merge),0.38156203318306536,0.22640856727740608,0.04305135951661631,0.18956855791962168,0.05033557046979867,0.07363802083333336
59,AuraIndustries/Aura-8B,AuraIndustries/Aura-8B (Merge),0.7205315230255721,0.3098134841070972,0.15030211480362538,0.3193151595744681,0.04809843400447425,0.0922265625
60,AuraIndustries/Aura-MoE-2x4B,AuraIndustries/Aura-MoE-2x4B (Merge),0.4600969871053249,0.2061384808360901,0.02945619335347432,0.18328900709219859,0.029082774049216997,0.09830468750000002
61,AuraIndustries/Aura-MoE-2x4B-v2,AuraIndustries/Aura-MoE-2x4B-v2 (Merge),0.4777822843388875,0.20801181076748462,0.023413897280966767,0.17885638297872342,0.05033557046979867,0.1042447916666667
62,Aurel9/testmerge-7b,Aurel9/testmerge-7b (Merge),0.39799842196483115,0.32792793327636355,0.06722054380664652,0.22807697990543732,0.06711409395973152,0.17133072916666667
63,Azure99/blossom-v5-32b,Azure99/blossom-v5-32b,0.523544196066437,0.4288305588471398,0.10422960725075531,0.3593934692671394,0.08165548098434001,0.08350000000000002
64,Azure99/blossom-v5-llama3-8b,Azure99/blossom-v5-llama3-8b,0.434293230849701,0.18306535405618443,0.04380664652567976,0.13397606382978722,0.020134228187919476,0.05310937500000001
65,Azure99/blossom-v5.1-34b,Azure99/blossom-v5.1-34b,0.5696562897556262,0.4414770458838461,0.15709969788519637,0.39531619385342787,0.07941834451901568,0.07298958333333334
66,Azure99/blossom-v5.1-9b,Azure99/blossom-v5.1-9b,0.5085816744016985,0.3420124449031171,0.1163141993957704,0.3310431442080379,0.11409395973154364,0.08024479166666668
67,BAAI/Gemma2-9B-IT-Simpo-Infinity-Preference,google/gemma-2-9b,0.31763831079314,0.42190844059066157,0.0,0.3187610815602837,0.11968680089485462,0.08104947916666669
68,BAAI/Infinity-Instruct-3M-0613-Llama3-70B,BAAI/Infinity-Instruct-3M-0613-Llama3-70B,0.6821134589555712,0.5132716098252211,0.1623867069486405,0.4144318853427896,0.14429530201342286,0.1653255208333333
69,BAAI/Infinity-Instruct-3M-0613-Mistral-7B,BAAI/Infinity-Instruct-3M-0613-Mistral-7B,0.5319873491225504,0.28992936470320585,0.07477341389728098,0.2400820035460993,0.06152125279642054,0.13252083333333334
70,BAAI/Infinity-Instruct-3M-0625-Llama3-70B,BAAI/Infinity-Instruct-3M-0625-Llama3-70B,0.7442120240960651,0.5202816164280523,0.17900302114803626,0.3984559692671394,0.14317673378076065,0.1834036458333333
71,BAAI/Infinity-Instruct-3M-0625-Llama3-8B,BAAI/Infinity-Instruct-3M-0625-Llama3-8B,0.6050268842227513,0.289882222457564,0.06117824773413898,0.2502401004728132,0.03355704697986576,0.05667708333333334
72,BAAI/Infinity-Instruct-3M-0625-Mistral-7B,BAAI/Infinity-Instruct-3M-0625-Mistral-7B,0.5867420666054955,0.2882328942958971,0.07628398791540786,0.24774674940898345,0.04921700223713646,0.1223828125
73,BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,BAAI/Infinity-Instruct-3M-0625-Qwen2-7B,0.5553930238434022,0.3465682860864863,0.06873111782477341,0.32891917848699764,0.08389261744966443,0.06461718749999999
74,BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,BAAI/Infinity-Instruct-3M-0625-Yi-1.5-9B,0.5185984299436606,0.3537870748220464,0.15181268882175225,0.34646498226950356,0.13870246085011187,0.16724739583333334
75,BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,BAAI/Infinity-Instruct-7M-0729-Llama3_1-8B,0.6131952109292232,0.30888804607565573,0.10649546827794562,0.24710032505910168,0.057046979865771785,0.05297135416666668
76,BAAI/Infinity-Instruct-7M-0729-mistral-7B,BAAI/Infinity-Instruct-7M-0729-mistral-7B,0.6161928128476886,0.28697915491520026,0.0649546827794562,0.2526411052009456,0.05369127516778524,0.10040104166666669
77,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-70B,0.7335458804859993,0.5249894685232329,0.22960725075528704,0.40076462765957444,0.16778523489932887,0.1697161458333333
78,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,BAAI/Infinity-Instruct-7M-Gen-Llama3_1-8B,0.6131952109292232,0.30888804607565573,0.10649546827794562,0.24710032505910168,0.057046979865771785,0.05297135416666668
79,BAAI/Infinity-Instruct-7M-Gen-mistral-7B,BAAI/Infinity-Instruct-7M-Gen-mistral-7B,0.6146690780462506,0.28697915491520026,0.0649546827794562,0.2526411052009456,0.05369127516778524,0.10040104166666669
80,BAAI/OPI-Llama-3.1-8B-Instruct,meta-llama/Meta-Llama-3.1-8B,0.20745510800232275,0.09768711714241529,0.0,0.12492612293144206,0.03243847874720355,0.035794270833333336
81,BEE-spoke-data/Meta-Llama-3-8Bee,meta-llama/Meta-Llama-3-8B,0.19506575885317623,0.24199032699797488,0.04154078549848943,0.2466385933806146,0.08501118568232664,0.062424479166666665
82,BEE-spoke-data/smol_llama-101M-GQA,BEE-spoke-data/smol_llama-101M-GQA,0.13843712460715346,0.03198004094352794,0.0,0.011894208037825047,0.010067114093959738,0.04275520833333334
83,BEE-spoke-data/smol_llama-220M-GQA,BEE-spoke-data/smol_llama-220M-GQA,0.23860468002677343,0.030378427577205297,0.0,0.016603871158392434,0.007829977628635318,0.09067708333333334
84,BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu,BEE-spoke-data/smol_llama-220M-GQA,0.19881248420856662,0.02314902449149024,0.0,0.014110520094562635,0.01230425055928408,0.14261718750000002
85,BEE-spoke-data/smol_llama-220M-openhermes,BEE-spoke-data/smol_llama-220M-GQA,0.1555229014570229,0.03107692077087363,0.0,0.013371749408983452,0.02348993288590602,0.06224479166666669
86,BEE-spoke-data/tFINE-900m-e16-d32-flan,pszemraj/tFINE-900m-e16-d32-1024ctx,0.15057713533424646,0.04411893932611097,0.0,0.03414967494089834,0.0,0.03718750000000001
87,BEE-spoke-data/tFINE-900m-e16-d32-flan-infinity-instruct-7m-T2T_en-1024,pszemraj/tFINE-900m-e16-d32-1024ctx,0.13206735905176042,0.04737018282627999,0.0,0.026300236406619385,0.0055928411633109736,0.13808854166666668
