,model,arc,hellaswag,mmlu,truthfulqa,winogrande,gsm8k
0,0-hero/Matter-0.1-7B,0.6177474402730375,0.8213503286197968,0.6242373141477038,0.42439512814935104,0.7782162588792423,0.5375284306292646
1,0-hero/Matter-0.1-7B-DPO-preview,0.6271331058020477,0.8299143596893049,0.6270029890832761,0.4579010104878946,0.7884767166535123,0.5617892342683851
2,0-hero/Matter-0.1-7B-boost,0.6262798634812287,0.8150766779525991,0.6196761775610533,0.5470240437403702,0.7592738752959748,0.4260803639120546
3,0-hero/Matter-0.1-7B-boost-DPO,0.6501706484641638,0.8308105954989046,0.6187380519083223,0.6029363233989143,0.7561168113654301,0.5003790750568613
4,0-hero/Matter-0.1-7B-boost-DPO-preview,0.6459044368600683,0.8287193786098386,0.6201762470835063,0.5885916212997572,0.7584846093133386,0.5041698256254739
5,0-hero/Matter-0.1-Slim-7B,0.6049488054607508,0.8132842063333997,0.6068136829879497,0.4178982620141241,0.7734806629834254,0.38134950720242616
6,0-hero/Matter-0.1-Slim-7B-A,0.6049488054607508,0.8132842063333997,0.6068136829879497,0.4178982620141241,0.7734806629834254,0.38134950720242616
7,0-hero/Matter-0.1-Slim-7B-B,0.6075085324232082,0.8154750049790879,0.6100698063926059,0.4190848495351186,0.7782162588792423,0.40636846095526913
8,0-hero/Matter-0.1-Slim-7B-C,0.613481228668942,0.8175662218681538,0.614507092174214,0.4348813666346923,0.7797947908445146,0.4738438210765732
9,0-hero/Matter-0.1-Slim-7B-C-DPO,0.6348122866894198,0.8312089225253934,0.6062934614294834,0.4652709265192007,0.7845303867403315,0.4844579226686884
10,0-hero/Matter-0.1-Slim-7B-preview,0.5998293515358362,0.8066122286397132,0.6152835237015458,0.4254557040115868,0.7734806629834254,0.4700530705079606
11,0-hero/Matter-0.2-32B,0.6322525597269625,0.842162915753834,0.7433913310129402,0.5251892212664137,0.8200473559589583,0.5602729340409401
12,0-hero/Matter-0.2-7B,0.6160409556313993,0.8239394542919737,0.6251254860656542,0.48108859708751195,0.7947908445146016,0.5390447308567097
13,0-hero/Matter-0.2-7B-DPO,0.6331058020477816,0.8316072495518821,0.6289652043503271,0.5030082038523329,0.8026835043409629,0.5693707354056103
14,01-ai/Yi-1.5-34B,0.6578498293515358,0.8610834495120494,0.779957192730956,0.5384452997155903,0.840568271507498,0.7323730098559514
15,01-ai/Yi-1.5-34B-32K,0.64419795221843,0.8554072893845848,0.7815303198667405,0.5211440286133998,0.839779005524862,0.0
16,01-ai/Yi-1.5-34B-Chat,0.7047781569965871,0.8596893049193387,0.7708283992203878,0.6215770288656476,0.8161010260457773,0.7164518574677785
17,01-ai/Yi-1.5-34B-Chat-16K,0.6808873720136519,0.865166301533559,0.7800358753548459,0.5761262516867734,0.8326756116811366,0.6793025018953753
18,01-ai/Yi-1.5-6B,0.5725255972696246,0.7792272455686118,0.6472689535017566,0.4401764913300537,0.7513812154696133,0.5034116755117514
19,01-ai/Yi-1.5-6B-Chat,0.606655290102389,0.7886875124477196,0.6424095801586486,0.5257270462628132,0.7355958958168904,0.6709628506444276
20,01-ai/Yi-1.5-9B,0.6186006825938567,0.8037243576976698,0.7073451954519469,0.4674286312358864,0.7797947908445146,0.6269901440485216
21,01-ai/Yi-1.5-9B-32K,0.6109215017064846,0.7983469428400717,0.7097203740649417,0.4252971744640382,0.7687450670876085,0.0
